transaction_id,customer_id,amount,payment_method,failure_code,direction,attempt_number,timestamp,recovered
TXN10000,CUST4534,11601.2,UPI,BANK_SERVER_DOWN,payment_failure,2,2026-08-27 19:05:43,1
TXN10001,CUST8268,595.7,Debit Card,MANDATE_REVOKED,subscription_lapsed,2,2026-08-12 11:10:00,0
TXN10002,CUST9603,788.16,Net Banking,MANDATE_REVOKED,subscription_lapsed,3,2026-08-17 20:27:37,0
TXN10003,CUST6454,353431.52,UPI,CREDIT_LIMIT_HIT,b2b_receivable,3,2026-08-16 05:37:57,0
TXN10004,CUST6977,13023.82,Net Banking,CARD_EXPIRED,payment_failure,1,2026-08-13 15:09:50,0
TXN10005,CUST1344,7859.64,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-16 23:43:51,1
TXN10006,CUST9897,4870.13,Debit Card,CARD_EXPIRED,payment_failure,1,2026-08-17 17:17:48,0
TXN10007,CUST4115,1982.18,Debit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-06 01:58:53,0
TXN10008,CUST6606,2111.77,Net Banking,MANDATE_EXPIRED,subscription_lapsed,2,2026-08-21 05:16:01,0
TXN10009,CUST2691,7367.76,UPI,CART_ABANDONED,checkout_abandonment,1,2026-08-16 17:03:49,0
TXN10010,CUST6326,5303.61,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,4,2026-08-22 08:17:24,0
TXN10011,CUST8714,6933.14,Debit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-09-02 10:08:17,0
TXN10012,CUST5778,8603.31,Net Banking,UPI_TIMEOUT,payment_failure,2,2026-08-07 03:32:50,1
TXN10013,CUST6328,1309.97,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-26 04:29:31,0
TXN10014,CUST2535,13404.15,UPI,WRONG_OTP,payment_failure,2,2026-08-21 12:01:48,1
TXN10015,CUST5421,659.45,UPI,MANDATE_EXPIRED,subscription_lapsed,1,2026-08-28 09:33:46,0
TXN10016,CUST1894,10208.85,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-21 22:29:10,0
TXN10017,CUST9422,555.74,UPI,MANDATE_EXPIRED,subscription_lapsed,1,2026-08-31 23:46:42,0
TXN10018,CUST4163,443181.01,Net Banking,INVOICE_OVERDUE,b2b_receivable,2,2026-08-31 02:02:50,1
TXN10019,CUST5314,3475.09,Debit Card,SHIPPING_CONFUSION,checkout_abandonment,1,2026-08-06 10:54:07,1
